loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype,st_teff,sy_dist
27421,Kepler-476 b,Kepler-476,b,1,1,2016,14.00640607,3.08,NA,NA,NA,5837,813.535
11385,Kepler-1328 b,Kepler-1328,b,1,1,2016,4.52158614,NA,NA,NA,NA,5647.55,813.543
25639,Kepler-380 b,Kepler-380,b,1,2,2014,3.93083997,NA,NA,NA,NA,6128,813.713
25650,Kepler-380 c,Kepler-380,c,1,2,2014,7.63006848,1.25,NA,1015,NA,6043,813.713
27515,Kepler-481 b,Kepler-481,b,1,1,2016,10.06082567,2.82,NA,NA,NA,5676,813.724
10792,Kepler-1288 b,Kepler-1288,b,1,1,2016,2.76121,1.31,NA,1413,NA,6030,814.078
13954,Kepler-1522 b,Kepler-1522,b,1,1,2016,1.847892736,NA,NA,NA,NA,5676.14,814.125
30344,Kepler-662 b,Kepler-662,b,1,1,2016,NA,3.348,NA,NA,NA,4943,815.637
25852,Kepler-389 b,Kepler-389,b,1,2,2014,3.2441268758,NA,NA,NA,NA,5104,816.559
25863,Kepler-389 c,Kepler-389,c,1,2,2014,14.5123622,2.08,NA,636,NA,5094,816.559
16855,Kepler-1774 b,Kepler-1774,b,1,1,2021,59.7711437,2.88,NA,522,NA,6214,816.592
1582,HATS-27 b,HATS-27,b,1,1,2016,4.637038,16.8135,168.4499,1659,F,6438,816.988
35047,NGC 2682 Sand 364 b,NGC 2682 Sand 364,b,1,1,2014,121.71,NA,NA,NA,NA,4284,817.192
14007,Kepler-1528 b,Kepler-1528,b,1,1,2016,NA,1.166,NA,NA,NA,6036,817.534
32053,Kepler-796 b,Kepler-796,b,1,1,2016,6.40087618,2.18,NA,1226,NA,5353,817.584
7357,Kepler-1047 b,Kepler-1047,b,1,2,2016,56.18944,2.2,NA,463,NA,5760,817.647
7368,Kepler-1047 c,Kepler-1047,c,1,2,2016,3.18897601,0.99,NA,NA,NA,5754,817.647
28540,Kepler-545 b,Kepler-545,b,1,1,2016,13.24934059,2.689,NA,NA,NA,5845,818.001
18166,Kepler-1885 b,Kepler-1885,b,1,1,2021,2.5225852,2.6,NA,1163,NA,5513,818.482
