loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype,st_teff,sy_dist
35550,Proxima Cen b,Proxima Cen,b,3,2,2016,11.1868,NA,NA,NA,M5.5 V,2900,1.30119
35555,Proxima Cen d,Proxima Cen,d,3,2,2025,5.122,NA,NA,NA,M5.5 V,2900,1.30119
229,Barnard b,Barnard's star,b,1,4,2024,3.1533,NA,NA,400,M3.5-4 V,3195,1.82655
231,Barnard c,Barnard's star,c,1,4,2025,4.1244,NA,NA,400,M3.5-4 V,3195,1.82655
232,Barnard d,Barnard's star,d,1,4,2025,2.3402,NA,NA,483,M3.5-4 V,3195,1.82655
233,Barnard e,Barnard's star,e,1,4,2025,6.7392,NA,NA,340,M3.5-4 V,3195,1.82655
3088,HD 260655 b,HD 260655,b,1,2,2022,2.76953,1.24,2.14,709,M0 V,3803,10.0055
3090,HD 260655 c,HD 260655,c,1,2,2022,5.70588,1.533,3.09,557,M0 V,3803,10.0055
34819,L 363-38 b,L 363-38,b,1,1,2023,8.781,NA,NA,330,NA,3129,10.2295
572,GJ 1265 b,GJ 1265,b,1,1,2018,3.6511,NA,NA,NA,M4.5 V,3236,10.2525
760,GJ 649 b,GJ 649,b,1,1,2009,598.3,NA,NA,NA,M1.5,3700,10.3796
739,GJ 536 b,GJ 536,b,1,1,2016,8.708,NA,NA,NA,NA,3674,10.4092
639,GJ 341 b,GJ 341,b,1,1,2025,7.5768334,0.867887,NA,629,NA,3766,10.454
3913,HIP 48714 b,HIP 48714,b,1,1,2020,17.818,NA,NA,NA,M0.5 Ve,NA,10.5298
34820,L 98-59 b,L 98-59,b,1,5,2019,2.25310616175,0.826635,NA,567.3,NA,3469,10.6194
34827,L 98-59 c,L 98-59,c,1,5,2019,3.6906758578,1.36751,NA,479,NA,3469,10.6194
34835,L 98-59 d,L 98-59,d,1,5,2019,7.4507245,1.521,1.94,416,M3 V,3415,10.6194
34843,L 98-59 e,L 98-59,e,1,5,2021,12.81,NA,NA,NA,NA,NA,10.6194
34846,L 98-59 f,L 98-59,f,1,5,2025,23.064,NA,NA,285,M3 V,3415,10.6194
518,G 261-6 b,G 261-6,b,1,1,2025,5.4536,NA,NA,322.3,M5.5 V,NA,10.6267
2293,HD 147379 b,HD 147379,b,2,1,2017,86.58,NA,NA,NA,M0.0 V,4090,10.7643
819,GJ 86 b,GJ 86,b,2,1,1999,15.76491,NA,NA,NA,NA,5151,10.7836
239,COCONUTS-2 b,COCONUTS-2 A,b,1,1,2021,402000000,12.44196858,2002.3189641,434,M3 V,3406,10.8864
2048,HD 115404 A b,HD 115404 A,b,1,2,2022,10.49488,NA,NA,NA,NA,NA,10.9816
2049,HD 115404 A c,HD 115404 A,c,1,2,2022,15319.22517,NA,3279.67133183,NA,NA,NA,10.9816
1876,HD 104985 b,HD 104985,b,1,1,2003,198.2,NA,NA,NA,NA,4679.37,100.576
38432,WASP-84 b,WASP-84,b,1,2,2014,8.5234958,12.0756,NA,676,NA,5238,100.588
38440,WASP-84 c,WASP-84,c,1,2,2023,1.4468993,4.98711,NA,1719,NA,5238,100.588
35760,TOI-1227 b,TOI-1227,b,1,1,2022,27.36137783684,6.45224486,NA,243.77,NA,3050,100.641
36037,TOI-1723 b,TOI-1723,b,1,1,2024,13.7270395,2.95921,NA,802,NA,5777,100.727
1975,HD 110014 b,HD 110014,b,1,1,2009,835.477,NA,NA,NA,K2 III,4445,100.758
35607,Qatar-6 b,Qatar-6,b,2,1,2017,3.50616494168,12.85761953,NA,927.51,NA,4906,100.848
45,2MASS J11550485-7919108 b,2MASS J11550485-7919108,b,1,1,2024,NA,NA,6356.56814,2506,NA,NA,100.862
2360,HD 154391 b,HD 154391,b,1,1,2023,5163,NA,2892.2385037,NA,K1 III,4909,100.947
34936,MOA-2007-BLG-192L b,MOA-2007-BLG-192L,b,1,1,2008,NA,NA,3.3,NA,NA,NA,1000
33864,Kepler-923 b,Kepler-923,b,1,1,2016,6.93366476,1.38,NA,NA,NA,5988,1000.28
33826,Kepler-920 b,Kepler-920,b,1,2,2016,NA,3.016,NA,NA,NA,5306,1001.68
33836,Kepler-920 c,Kepler-920,c,1,2,2016,100.8276725,4.35,NA,364,NA,5301,1001.68
14679,Kepler-1580 b,Kepler-1580,b,1,1,2016,56.6449279,2.399,NA,NA,NA,6300,1002.02
18808,Kepler-1946 b,Kepler-1946,b,1,1,2021,3.035206175,3.59,NA,1143,NA,5505,1002.12
21588,Kepler-259 b,Kepler-259,b,1,2,2014,NA,3.209,NA,NA,NA,5511,1002.14
21600,Kepler-259 c,Kepler-259,c,1,2,2014,36.9250409,3.01,NA,530,NA,5926,1002.14
26576,Kepler-418 b,Kepler-418,b,1,2,2014,86.67855186,9.88,NA,446,NA,6177,1002.53
26589,Kepler-418 c,Kepler-418,c,1,2,2021,12.218255,5.3,NA,860,NA,6166,1002.53
13338,Kepler-1476 b,Kepler-1476,b,1,1,2016,10.35857039,1.68,NA,860,NA,5893,1002.74
24616,Kepler-344 b,Kepler-344,b,1,2,2014,21.96394,3,NA,641,NA,5752,1002.94
24628,Kepler-344 c,Kepler-344,c,1,2,2014,NA,2.657,NA,NA,NA,5459,1002.94
10783,Kepler-1287 b,Kepler-1287,b,1,1,2016,11.47685909,1.48,NA,811,NA,6032,1003.26
11945,Kepler-1370 b,Kepler-1370,b,1,2,2016,20.26427,1.94,NA,781,NA,6234,1004.1
11956,Kepler-1370 c,Kepler-1370,c,1,2,2016,7.44142113,1.27,NA,NA,NA,6202,1004.1
18789,Kepler-1943 b,Kepler-1943,b,1,1,2021,4.85026423,1.309,NA,NA,NA,5807,1004.55
31210,Kepler-736 b,Kepler-736,b,1,1,2016,3.601465336,2.31,NA,996,NA,5052,1005.43
26751,Kepler-43 b,Kepler-43,b,1,1,2011,3.0240922,12.55,962.98,NA,NA,6019,1005.84
17357,Kepler-1815 b,Kepler-1815,b,1,1,2021,12.19138811,2.8,NA,763,NA,5516,1006.63
8478,Kepler-1116 b,Kepler-1116,b,1,1,2016,41.6977827,2.37,NA,489,NA,5737,1008.57
16189,Kepler-1717 b,Kepler-1717,b,1,1,2021,30.6529373,2.38,NA,771,NA,6823,1008.79
18639,Kepler-193 b,Kepler-193,b,1,2,2014,11.38839971,2.44,NA,917,NA,6343,1009.1
18651,Kepler-193 c,Kepler-193,c,1,2,2014,50.6984448,2.85,NA,558,NA,6343,1009.1
17311,Kepler-1810 b,Kepler-1810,b,1,1,2021,101.1326568,3.79,NA,380,NA,5783,1009.87
2005,HD 112570 b,HD 112570,b,1,1,2023,2615,NA,1086.97315194,NA,K0 III,4750,101.166
36303,TOI-2260 b,TOI-2260,b,1,1,2022,0.3524597,1.76224,NA,1825,NA,5432,101.251
157,81 Cet b,81 Cet,b,1,1,2008,NA,NA,NA,NA,NA,NA,101.26
4745,K2-222 b,K2-222,b,1,1,2018,15.386796,2.1,NA,NA,NA,NA,101.321
2895,HD 214823 b,HD 214823,b,2,1,2016,1877,NA,NA,NA,G0 V,6215,101.368
4163,K2-117 b,K2-117,b,1,2,2017,1.291505,1.96,NA,NA,NA,3842.12,101.632
4171,K2-117 c,K2-117,c,1,2,2017,5.44425,1.75,NA,NA,NA,NA,101.632
3975,HIP 8152 b,HIP 8152,b,1,2,2023,10.75101,2.56,7.8,855,NA,5530,101.694
3978,HIP 8152 c,HIP 8152,c,1,2,2023,19.60562,2.52442508,10.7,650.68,NA,5618,101.694
3866,HIP 114933 b,HIP 114933,b,1,1,2021,1481.6,NA,NA,NA,K0 III,4823,101.766
6919,Kepler-1018 b,Kepler-1018,b,1,1,2016,49.1013514,2.72,NA,477,NA,5807,1010.01
322,CoRoT-27 b,CoRoT-27,b,1,1,2014,3.57532,11.287463,3273.649,NA,NA,5900,1010.28
26598,Kepler-419 b,Kepler-419,b,1,2,2014,69.7546,10.8,794.5,NA,NA,6430,1011.36
26610,Kepler-419 c,Kepler-419,c,1,2,2014,675.47,NA,2320.1,NA,NA,6430,1011.36
34536,Kepler-976 b,Kepler-976,b,1,1,2016,NA,3.844,NA,NA,NA,5321,1012.41
15717,Kepler-1674 b,Kepler-1674,b,1,1,2020,62.56259,3,NA,415,NA,5664,1012.48
11042,Kepler-1307 b,Kepler-1307,b,1,1,2016,18.0163009151,NA,NA,NA,NA,5603.11,1014.62
13464,Kepler-1487 b,Kepler-1487,b,1,2,2016,7.3194636300000004,1.24,NA,1017,NA,6444,1014.62
13472,Kepler-1487 c,Kepler-1487,c,1,2,2023,35.8022845,3.02,NA,599,NA,6444,1014.62
11764,Kepler-1357 b,Kepler-1357,b,1,1,2016,3.0091070934,NA,NA,NA,NA,5608,1015.69
33983,Kepler-933 b,Kepler-933,b,1,1,2016,14.204438635,NA,NA,NA,NA,5287,1017.2
26726,Kepler-427 b,Kepler-427,b,1,1,2014,10.290993755,10.52,NA,NA,NA,5944,1017.8
13161,Kepler-1462 b,Kepler-1462,b,1,1,2016,65.6488341,3.16,NA,390,NA,5436,1017.82
32212,Kepler-800 b,Kepler-800,b,1,1,2016,14.13176026,2.91,NA,677,NA,5626,1019.26
28551,Kepler-546 b,Kepler-546,b,1,1,2016,4.147021189,7.31,NA,1258,NA,5818,1019.65
36170,TOI-199 b,TOI-199,b,1,2,2023,104.8729635,10.223,NA,358,NA,5350,102.27
36172,TOI-199 c,TOI-199,c,1,2,2023,273.69,NA,88.99195396,NA,G9 V,5255,102.27
4006,HIP 97233 b,HIP 97233,b,1,1,2014,1058.8,NA,NA,NA,K0,5020,102.275
4349,K2-150 b,K2-150,b,1,1,2018,10.59357,2,NA,NA,M2.5 V,3499,102.483
35773,TOI-1244 b,TOI-1244,b,1,1,2024,6.4003,2.37611439,6.6,714.86,NA,4722,102.551
4769,K2-229 b,K2-229,b,1,2,2018,0.58424,1.2547759,NA,NA,NA,5231,102.564
4774,K2-229 c,K2-229,c,1,2,2018,8.32801,2.16480482,NA,NA,NA,5231,102.564
4224,K2-126 b,K2-126,b,1,1,2017,7.387,NA,NA,NA,NA,4259,102.953
9427,Kepler-1187 b,Kepler-1187,b,1,1,2016,18.87064068,2.33,NA,701,NA,6103,1020.53
31929,Kepler-79 b,Kepler-79,b,1,4,2012,13.485,1.92,54.1,NA,NA,NA,1020.72
31945,Kepler-79 c,Kepler-79,c,1,4,2012,27.40232089,2.96,NA,671,NA,6388,1020.72
31961,Kepler-79 d,Kepler-79,d,1,4,2014,52.0902,7.16,6,NA,NA,6174,1020.72
31978,Kepler-79 e,Kepler-79,e,1,4,2014,81.0634942,2.823,NA,NA,NA,6389,1020.72
9990,Kepler-123 b,Kepler-123,b,1,2,2014,17.232,2.55,55.3,NA,NA,NA,1021.66
10003,Kepler-123 c,Kepler-123,c,1,2,2014,26.6951944,NA,NA,NA,NA,6338,1021.66
32101,Kepler-8 b,Kepler-8,b,1,1,2010,NA,15.789,NA,NA,NA,6181,1021.87
17272,Kepler-1808 b,Kepler-1808,b,1,1,2021,23.34014628,NA,NA,NA,NA,5491,1022.01
8157,Kepler-1099 b,Kepler-1099,b,1,1,2016,2.1684482286,NA,NA,NA,NA,5724,1022.8
30747,Kepler-694 b,Kepler-694,b,1,1,2016,6.365841612,2.54,NA,917,NA,5787,1023.06
30610,Kepler-683 b,Kepler-683,b,1,1,2016,NA,1.992,NA,NA,NA,5523,1023.07
29307,Kepler-596 b,Kepler-596,b,1,1,2016,21.30022655,2.92,NA,752,NA,6343,1023.85
32771,Kepler-84 b,Kepler-84,b,1,5,2012,8.726,2.23,NA,NA,NA,NA,1023.9
32782,Kepler-84 c,Kepler-84,c,1,5,2012,12.882525,2.4,NA,821,NA,6013,1023.9
32792,Kepler-84 d,Kepler-84,d,1,5,2014,4.22451369,1.3,NA,1188,NA,6028,1023.9
32801,Kepler-84 e,Kepler-84,e,1,5,2014,27.43473,2.4,NA,638,NA,6013,1023.9
32811,Kepler-84 f,Kepler-84,f,1,5,2014,44.552169,2.2,NA,NA,NA,6031,1023.9
27364,Kepler-47 b,Kepler-47,b,2,3,2012,49.532,3.03,636,NA,NA,5636,1025.02
27366,Kepler-47 c,Kepler-47,c,2,3,2012,303.227,4.65,3.17,NA,NA,NA,1025.02
27368,Kepler-47 d,Kepler-47,d,2,3,2019,187.366,7.04,19.02,NA,NA,NA,1025.02
33767,Kepler-918 b,Kepler-918,b,1,1,2016,4.85386933,1.44,NA,1102,NA,6061,1025.03
29376,Kepler-60 b,Kepler-60,b,1,3,2012,NA,1.848,NA,NA,NA,5834,1025.1
29391,Kepler-60 c,Kepler-60,c,1,3,2012,8.91902447,1.79,NA,NA,NA,5961,1025.1
29407,Kepler-60 d,Kepler-60,d,1,3,2012,11.8984932,1.76,NA,1013,NA,6200,1025.1
21488,Kepler-256 b,Kepler-256,b,1,4,2014,1.6204790995,NA,NA,NA,NA,5571,1026.43
21499,Kepler-256 c,Kepler-256,c,1,4,2014,3.38802,2.15,NA,NA,NA,5551,1026.43
21510,Kepler-256 d,Kepler-256,d,1,4,2014,5.83908991,1.65,NA,1008,NA,5936,1026.43
21521,Kepler-256 e,Kepler-256,e,1,4,2014,10.68164811,NA,NA,NA,NA,5571,1026.43
14740,Kepler-1587 b,Kepler-1587,b,1,1,2016,9.4060467,1.32,NA,981,NA,5855,1026.48
29484,Kepler-604 b,Kepler-604,b,1,1,2016,NA,2.622,NA,NA,NA,6138,1026.49
12141,Kepler-1383 b,Kepler-1383,b,1,1,2016,13.9095,1.36,NA,935,NA,6327,1027.21
9830,Kepler-122 b,Kepler-122,b,1,5,2014,5.76616658,1.84,NA,1040,NA,6103,1027.45
9842,Kepler-122 c,Kepler-122,c,1,5,2014,12.46600439,NA,NA,NA,NA,6012,1027.45
9854,Kepler-122 d,Kepler-122,d,1,5,2014,21.58752788,NA,NA,NA,NA,6012,1027.45
9866,Kepler-122 e,Kepler-122,e,1,5,2014,37.9963981,2.525,NA,NA,NA,5917,1027.45
9879,Kepler-122 f,Kepler-122,f,1,5,2014,56.2590881,2.22,NA,543,NA,6038,1027.45
34385,Kepler-966 b,Kepler-966,b,1,1,2016,99.7469,4.7,NA,425,NA,5638,1027.8
10869,Kepler-1293 b,Kepler-1293,b,1,1,2016,5.5764879891,NA,NA,NA,NA,6259.72,1028.16
18360,Kepler-1901 b,Kepler-1901,b,1,1,2021,3.48412874,1.16,NA,1132,NA,5696,1028.37
1913,HD 106906 b,HD 106906,b,1,1,2013,NA,NA,4115.8985,1820,NA,6473.79,103.029
2087,HD 120084 b,HD 120084,b,1,1,2013,2082,NA,NA,NA,G7 III,4892,103.044
35915,TOI-1437 b,TOI-1437,b,1,1,2024,18.84078,2.43471042,10.4,794.23,NA,5986,103.297
3640,HD 79181 b,HD 79181,b,1,1,2021,273.1,NA,NA,NA,G8 III,4862,103.335
11223,Kepler-1319 b,Kepler-1319,b,2,1,2016,2.89,1.28,NA,NA,NA,NA,103.917
3710,HD 86081 b,HD 86081,b,2,1,2006,2.1375,NA,NA,NA,F8 V,NA,103.936
18511,Kepler-1918 b,Kepler-1918,b,1,1,2021,47.0563327,NA,NA,NA,NA,5376,1030.11
8713,Kepler-1131 b,Kepler-1131,b,1,1,2016,NA,1.464,NA,NA,NA,5772,1030.7
14905,Kepler-1600 b,Kepler-1600,b,1,2,2016,386.370512,NA,NA,NA,NA,5102,1030.81
14912,Kepler-1600 c,Kepler-1600,c,1,2,2021,7.298049927,1.94206512,NA,NA,NA,5119,1030.81
15298,Kepler-1639 b,Kepler-1639,b,1,1,2016,9.8789594447,NA,NA,NA,NA,6175,1031.31
19305,Kepler-1993 b,Kepler-1993,b,1,1,2023,26.6565737,4.15,NA,903,NA,5159,1031.91
22456,Kepler-284 b,Kepler-284,b,1,2,2014,12.69906,2.54,NA,692,NA,5603,1031.95
22468,Kepler-284 c,Kepler-284,c,1,2,2014,37.5140693,2.95,NA,NA,NA,5487,1031.95
334,CoRoT-30 b,CoRoT-30,b,1,1,2020,9.06005,11.309881,921.707,NA,G3 V,5650,1032.23
35516,PH1 b,PH1,b,4,1,2012,138.317,6.18,169,481,F,6407,1033.16
30457,Kepler-672 b,Kepler-672,b,1,1,2016,38.3775486,NA,NA,NA,NA,5518.52,1033.93
17382,Kepler-1818 b,Kepler-1818,b,1,1,2021,4.64493642,1.48,NA,1209,NA,6047,1034.59
21016,Kepler-244 b,Kepler-244,b,1,3,2014,4.311802,2.7,NA,983,NA,5553,1036.49
21028,Kepler-244 c,Kepler-244,c,1,3,2014,9.76732448,NA,NA,NA,NA,5461,1036.49
21041,Kepler-244 d,Kepler-244,d,1,3,2014,20.0504494,2.69,NA,622,NA,5527,1036.49
22257,Kepler-279 b,Kepler-279,b,1,4,2014,12.3097136,2.47,NA,941,NA,6781,1037.4
22269,Kepler-279 c,Kepler-279,c,1,4,2013,35.735,5.5,7.4,NA,NA,NA,1037.4
22281,Kepler-279 d,Kepler-279,d,1,4,2013,54.414,3.1,37.5,NA,NA,NA,1037.4
22292,Kepler-279 e,Kepler-279,e,1,4,2025,98.353149,NA,NA,NA,NA,6689.45,1037.4
12291,Kepler-1391 b,Kepler-1391,b,1,1,2016,54.4101523709,NA,NA,NA,NA,5579.13,1038.35
5566,K2-52 b,K2-52,b,1,1,2016,3.535055,18,NA,2004,NA,7147,1038.41
25229,Kepler-365 b,Kepler-365,b,1,2,2014,10.66489514,NA,NA,NA,NA,5744.35,1038.99
25239,Kepler-365 c,Kepler-365,c,1,2,2014,17.7838298,NA,NA,NA,NA,5744.35,1038.99
33075,Kepler-862 b,Kepler-862,b,1,1,2016,3.148661555,2.15,NA,1097,NA,5258,1039.03
36032,TOI-1716.01,TOI-1716,b,1,1,2024,8.082354,2.72432,NA,959,NA,5878.6,104.158
2579,HD 180902 b,HD 180902,b,2,1,2009,479,NA,NA,NA,NA,4992,104.577
2975,HD 219139 b,HD 219139,b,1,1,2021,275.5,NA,NA,NA,G5 III,4831,104.935
166,AT2021ueyL b,AT2021ueyL,b,1,1,2025,4168.69,NA,425.89006538,NA,M V,3680,1040
898,Gaia22dkvL b,Gaia22dkvL,b,1,1,2024,NA,NA,261.25495055,NA,NA,NA,1040
17454,Kepler-1824 b,Kepler-1824,b,1,1,2021,95.61100006,2.38127597,NA,NA,NA,6002,1040.1
35076,NGTS-17 b,NGTS-17,b,1,1,2021,3.24253,13.89913607,242.82090295,1457,G4 V,5650,1040.28
13257,Kepler-147 b,Kepler-147,b,1,2,2014,12.610584,1.53,NA,NA,NA,6012,1042.02
13268,Kepler-147 c,Kepler-147,c,1,2,2014,33.418,2.27,NA,634,NA,5894,1042.02
7785,Kepler-1071 b,Kepler-1071,b,1,1,2016,6.1799844,1.47,NA,661,NA,4932,1042.27
18956,Kepler-1961 b,Kepler-1961,b,1,1,2021,5.60473115,1.11,NA,866,NA,5401,1042.45
12588,Kepler-1415 b,Kepler-1415,b,1,1,2016,0.6364255,1.4,NA,1742,NA,5174,1043.56
21956,Kepler-27 b,Kepler-27,b,1,3,2011,15.33528675,5,NA,610,NA,5251,1044.36
21968,Kepler-27 c,Kepler-27,c,1,3,2011,31.33046135,6.5,NA,481,NA,5251,1044.36
21980,Kepler-27 d,Kepler-27,d,1,3,2021,6.54626058,2.83,NA,836,NA,5325,1044.36
320,CoRoT-26 b,CoRoT-26,b,1,1,2013,4.20474,14.12,165.26,1600,G5,5590,1045.18
10220,Kepler-1247 b,Kepler-1247,b,1,1,2016,13.71220213,2.4,NA,679,NA,5561,1045.92
24505,Kepler-341 b,Kepler-341,b,1,4,2014,5.1955,1.25,NA,1095,NA,6000,1047.03
24516,Kepler-341 c,Kepler-341,c,1,4,2014,8.01041,1.7,NA,NA,NA,6012,1047.03
24528,Kepler-341 d,Kepler-341,d,1,4,2014,27.6665971,1.96,NA,627,NA,6008,1047.03
24540,Kepler-341 e,Kepler-341,e,1,4,2014,42.468653876,NA,NA,NA,NA,5669,1047.03
31603,Kepler-764 b,Kepler-764,b,1,1,2016,7.33683936,1.59,NA,876,NA,5798,1047.84
8148,Kepler-1098 b,Kepler-1098,b,1,1,2016,2.543063763,NA,NA,NA,NA,5839,1049.19
1984,HD 110082 b,HD 110082,b,2,1,2021,10.1826982735,3.05380568,NA,957.2,NA,6153,105.096
2164,HD 132563 b,HD 132563,b,3,1,2011,1544,NA,NA,NA,NA,6289,105.155
38361,WASP-77 A b,WASP-77 A,b,2,1,2012,1.36002827982,13.09118126,NA,1544.01,NA,5500,105.166
2203,HD 136418 b,HD 136418,b,1,1,2009,464.3,NA,NA,NA,NA,5071,105.168
3860,HIP 107773 b,HIP 107773,b,1,1,2015,144.3,NA,NA,NA,K1 III,4945,105.18
5250,K2-346 b,K2-346,b,1,1,2021,26.197022,2.36213049,NA,NA,NA,4789,105.58
3223,HD 33844 b,HD 33844,b,1,2,2015,551.4,NA,NA,NA,K0 III,4861,105.779
3226,HD 33844 c,HD 33844,c,1,2,2015,916,NA,NA,NA,K0 III,4861,105.779
9239,Kepler-1170 b,Kepler-1170,b,1,1,2016,9.98973387,NA,NA,NA,NA,5004,1050.45
17499,Kepler-183 b,Kepler-183,b,1,2,2014,5.6880835731,NA,NA,NA,NA,5670.06,1050.64
17512,Kepler-183 c,Kepler-183,c,1,2,2014,11.6370303,2.9,NA,857,NA,5576,1050.64
18251,Kepler-1893 b,Kepler-1893,b,1,1,2021,4.17938195,1.6,NA,1198,NA,5632,1050.72
18389,Kepler-1905 b,Kepler-1905,b,1,1,2021,3.42390809,1.25,NA,1212,NA,5788,1051.53
22996,Kepler-299 b,Kepler-299,b,1,4,2014,2.92721559,1.22,NA,1241,NA,5896,1052.24
23007,Kepler-299 c,Kepler-299,c,1,4,2014,6.88595559,1.98,NA,933,NA,5896,1052.24
23018,Kepler-299 d,Kepler-299,d,1,4,2014,15.0549356,1.6,NA,729,NA,5616,1052.24
23029,Kepler-299 e,Kepler-299,e,1,4,2014,38.28437,1.64,NA,520,NA,5885,1052.24
21458,Kepler-255 b,Kepler-255,b,1,3,2014,NA,1.622,NA,NA,NA,5332,1052.53
21468,Kepler-255 c,Kepler-255,c,1,3,2014,9.946049,2.9,NA,729,NA,5463,1052.53
21479,Kepler-255 d,Kepler-255,d,1,3,2016,1.045622658,1.37,NA,1628,NA,5569,1052.53
33873,Kepler-924 b,Kepler-924,b,1,1,2016,61.0370400526,NA,NA,NA,NA,6070,1053.04
17534,Kepler-1831 b,Kepler-1831,b,1,1,2021,5.78388573,2.32,NA,1051,NA,6063,1053.49
10801,Kepler-1289 b,Kepler-1289,b,1,1,2016,7.99019627,1.15,NA,875,NA,5933,1053.57
12671,Kepler-1420 b,Kepler-1420,b,1,1,2016,6.699536812,NA,NA,NA,NA,5365,1054.37
10452,Kepler-1262 b,Kepler-1262,b,1,1,2016,8.6789338469,NA,NA,NA,NA,5682,1054.87
33055,Kepler-860 b,Kepler-860,b,1,1,2016,5.101379454,2.91,NA,1050,NA,5869,1056.36
22722,Kepler-292 b,Kepler-292,b,1,5,2014,2.580827,1.32,NA,NA,NA,5299,1056.48
22733,Kepler-292 c,Kepler-292,c,1,5,2014,3.71545593,1.46,NA,1001,NA,5296,1056.48
22744,Kepler-292 d,Kepler-292,d,1,5,2014,7.0556671,2.284,NA,NA,NA,5248,1056.48
22756,Kepler-292 e,Kepler-292,e,1,5,2014,11.97877778,NA,NA,NA,NA,5193,1056.48
22768,Kepler-292 f,Kepler-292,f,1,5,2014,20.83419383,NA,NA,NA,NA,5193,1056.48
17525,Kepler-1830 b,Kepler-1830,b,1,1,2021,56.4932269,3.292,NA,NA,NA,6282,1056.88
11855,Kepler-1364 b,Kepler-1364,b,1,1,2016,13.32196237,1.94,NA,1104,NA,6982,1056.9
18134,Kepler-1881 b,Kepler-1881,b,1,1,2021,159.388788,NA,NA,NA,NA,5156,1057.21
25873,Kepler-39 b,Kepler-39,b,1,1,2011,21.0871953,14.43,NA,873,NA,6266,1057.41
28185,Kepler-524 b,Kepler-524,b,1,2,2016,7.9741252899,NA,NA,NA,NA,5842.52,1058.24
28196,Kepler-524 c,Kepler-524,c,1,2,2016,1.888971,0.99,NA,1714,NA,6024,1058.24
13034,Kepler-1451 b,Kepler-1451,b,1,1,2016,35.622233,3.35,NA,NA,NA,5782,1058.72
25973,Kepler-394 b,Kepler-394,b,1,3,2014,8.00505342,1.72,NA,1063,NA,6426,1058.72
25984,Kepler-394 c,Kepler-394,c,1,3,2014,12.13070414,1.61,NA,901,NA,6398,1058.72
25995,Kepler-394 d,Kepler-394,d,1,3,2021,5.61357629,1.5,NA,1197,NA,6426,1058.72
18173,Kepler-1886 b,Kepler-1886,b,1,1,2021,24.2762373,2.26,NA,578,NA,5735,1059.51
3897,HIP 41378 b,HIP 41378,b,1,5,2016,15.5712,2.9,NA,NA,NA,6199,106.289
3900,HIP 41378 c,HIP 41378,c,1,5,2016,31.6978,2.56,NA,NA,NA,6199,106.289
3903,HIP 41378 d,HIP 41378,d,1,5,2016,48.1,NA,NA,NA,NA,6199,106.289
3907,HIP 41378 e,HIP 41378,e,1,5,2016,131,5.51,NA,NA,NA,6199,106.289
3909,HIP 41378 f,HIP 41378,f,1,5,2016,1084,NA,NA,NA,NA,6226,106.289
1986,HD 110113 b,HD 110113,b,1,2,2021,2.54047309,NA,NA,NA,G,5732,106.307
1989,HD 110113 c,HD 110113,c,1,2,2021,6.744,NA,NA,990,G,5732,106.307
28496,Kepler-541 b,Kepler-541,b,1,1,2016,5.08005848,1.92,NA,1212,NA,6089,1060.68
16294,Kepler-1724 b,Kepler-1724,b,1,1,2021,6.45442931,2.48,NA,999,NA,6092,1060.77
313,CoRoT-23 b,CoRoT-23,b,1,1,2011,3.6313,11.77,889.9,1660,G0 V,5900,1060.97
16483,Kepler-1740 b,Kepler-1740,b,1,1,2021,8.17242018,3.75,NA,918,NA,5993,1061.77
30354,Kepler-663 b,Kepler-663,b,1,1,2016,4.99678284,2.7,NA,917,NA,5339,1063.09
30055,Kepler-643 b,Kepler-643,b,1,1,2016,16.33887888,NA,NA,NA,NA,4809.45,1063.58
14639,Kepler-1578 b,Kepler-1578,b,1,1,2016,1.4508931183,NA,NA,NA,NA,5569,1064.05
10085,Kepler-1237 b,Kepler-1237,b,1,1,2016,84.5733346,2.59,NA,366,NA,5418,1064.31
31817,Kepler-781 b,Kepler-781,b,1,1,2016,NA,3.025,NA,NA,NA,5341,1064.47
26316,Kepler-405 b,Kepler-405,b,1,2,2014,10.61369479,2.051,NA,NA,NA,5461,1065.08
26327,Kepler-405 c,Kepler-405,c,1,2,2014,29.7272142,3.81,NA,555,NA,5817,1065.08
31024,Kepler-720 b,Kepler-720,b,1,1,2016,4.708326542,8.41,NA,NA,NA,5618,1065.37
29554,Kepler-609 b,Kepler-609,b,1,1,2016,6.521210666,2.6,NA,932,NA,5822,1065.82
12339,Kepler-1396 b,Kepler-1396,b,1,1,2016,18.2206421,1.65,NA,748,NA,6241,1066.46
35456,OGLE-TR-111 b,OGLE-TR-111,b,1,1,2004,4.0161,11.781,174.799,NA,NA,5040,1068.33
31467,Kepler-757 b,Kepler-757,b,1,1,2016,1.022678654,NA,NA,NA,NA,5667,1068.68
15269,Kepler-1635 b,Kepler-1635,b,1,1,2016,469.63111,3.64,NA,NA,NA,5347,1069.45
35841,TOI-1279 b,TOI-1279,b,1,1,2024,9.61416356822,3.22647351,NA,749.9,NA,5477,107.055
36394,TOI-2545 b,TOI-2545,b,1,1,2022,7.99403671774,2.55760211,NA,1022.99,NA,5846.29,107.118
2433,HD 161178 b,HD 161178,b,1,1,2021,279.3,NA,NA,NA,G9 III,4786,107.188
2479,HD 167768 b,HD 167768,b,1,1,2022,20.6532,NA,NA,NA,G8 III,4851,107.214
5025,K2-284 b,K2-284,b,1,1,2018,4.795069,2.78,NA,653,NA,4140,107.272
