year,day_of_year,blossom_date,century,feb_mean_temp_c,mar_mean_temp_c,apr_mean_temp_c,may_mean_temp_c
1991,97,Apr 07,20,4.3,9.4,15.0,18.7
1992,94,Apr 04,20,5.1,9.7,14.4,17.1
1993,97,Apr 07,20,6.1,7.6,13.3,18.2
1994,99,Apr 09,20,4.6,7.1,15.6,20.0
1995,99,Apr 09,20,4.9,8.6,13.6,18.2
1996,103,Apr 13,20,3.7,7.7,11.7,18.8
1997,97,Apr 07,20,4.6,9.3,14.4,19.3
1998,91,Apr 01,20,7.0,9.7,17.3,21.2
1999,94,Apr 04,20,4.7,9.9,14.1,19.9
2000,100,Apr 10,21,3.6,7.5,13.5,20.2
2001,96,Apr 06,21,5.3,8.6,14.7,20.0
2002,91,Apr 01,21,6.1,10.3,15.8,19.2
2003,98,Apr 08,21,5.5,7.3,15.1,19.6
2004,92,Apr 02,21,6.4,9.1,15.4,20.3
2005,99,Apr 09,21,4.9,7.7,15.3,18.5
2006,98,Apr 08,21,5.5,7.5,12.6,19.0
2007,97,Apr 07,21,7.3,8.6,13.5,18.9
2008,95,Apr 05,21,3.6,9.6,14.4,19.3
2009,95,Apr 05,21,6.7,8.8,14.6,19.3
2010,95,Apr 05,21,6.8,8.5,12.6,18.1
2011,99,Apr 09,21,6.3,6.8,12.5,19.0
2012,101,Apr 11,21,4.1,8.3,14.2,18.8
2013,93,Apr 03,21,4.5,9.7,13.4,19.2
2014,94,Apr 04,21,5.1,9.0,14.4,19.8
2015,93,Apr 03,21,5.6,9.4,15.6,21.2
2016,95,Apr 05,21,6.4,9.9,16.1,21.0
2017,99,Apr 09,21,5.1,8.2,14.8,20.9
2018,89,Mar 30,21,4.4,10.9,16.4,20.0
2019,95,Apr 05,21,6.9,9.6,13.9,20.7
2020,92,Apr 02,21,6.9,10.6,12.9,20.6
2021,85,Mar 26,21,7.7,11.6,14.8,19.4
2022,91,Apr 01,21,4.5,10.5,16.5,19.7
2023,84,Mar 25,21,6.0,12.3,15.4,19.7
2024,95,Apr 05,21,7.6,8.7,17.6,19.4
2025,94,Apr 04,21,4.3,10.0,15.4,20.0
2026,88,Mar 29,21,7.4,10.2,16.7,
