ds,y
1999-01-01,14.188
1999-02-01,14.677
1999-03-01,18.265
1999-04-01,15.166
1999-05-01,15.819
1999-06-01,16.634
1999-07-01,15.166
1999-08-01,15.982
1999-09-01,16.308
1999-10-01,14.84
1999-11-01,15.003
1999-12-01,15.819
2000-01-01,15.003
2000-02-01,15.493
2000-03-01,17.286
2000-04-01,15.33
2000-05-01,15.819
2000-06-01,15.33
2000-07-01,14.84
2000-08-01,15.493
2000-09-01,15.493
2000-10-01,15.166
2000-11-01,15.493
2000-12-01,15.819
2001-01-01,15.166
2001-02-01,15.166
2001-03-01,16.797
2001-04-01,15.656
2001-05-01,17.286
2001-06-01,16.471
2001-07-01,16.308
2001-08-01,16.634
2001-09-01,16.308
2001-10-01,16.308
2001-11-01,16.145
2001-12-01,16.634
2002-01-01,14.188
2002-02-01,13.862
2002-03-01,15.003
2002-04-01,15.656
2002-05-01,16.96
2002-06-01,15.982
2002-07-01,17.286
2002-08-01,17.123
2002-09-01,17.776
2002-10-01,17.939
2002-11-01,17.613
2002-12-01,18.917
2003-01-01,15.33
2003-02-01,16.471
2003-03-01,18.102
2003-04-01,16.797
2003-05-01,17.939
2003-06-01,17.286
2003-07-01,17.286
2003-08-01,17.45
2003-09-01,17.123
2003-10-01,16.634
2003-11-01,16.308
2003-12-01,17.123
2004-01-01,15.33
2004-02-01,15.33
2004-03-01,16.96
2004-04-01,16.634
2004-05-01,15.33
2004-06-01,15.656
2004-07-01,14.025
2004-08-01,13.373
2004-09-01,13.699
2004-10-01,13.373
2004-11-01,13.209
2004-12-01,13.699
2005-01-01,11.579
2005-02-01,11.416
2005-03-01,13.046
2005-04-01,13.046
2005-05-01,13.699
2005-06-01,14.025
2005-07-01,15.003
2005-08-01,15.166
2005-09-01,15.33
2005-10-01,15.982
2005-11-01,16.308
2005-12-01,16.797
2006-01-01,16.145
2006-02-01,15.33
2006-03-01,17.286
2006-04-01,15.656
2006-05-01,16.308
2006-06-01,16.308
2006-07-01,16.634
2006-08-01,16.96
2006-09-01,16.145
2006-10-01,18.591
2006-11-01,18.428
2006-12-01,18.754
2007-01-01,16.797
2007-02-01,15.982
2007-03-01,17.123
2007-04-01,18.265
2007-05-01,19.08
2007-06-01,17.613
2007-07-01,17.939
2007-08-01,17.939
2007-09-01,17.776
2007-10-01,19.08
2007-11-01,19.08
2007-12-01,19.08
2008-01-01,16.96
2008-02-01,16.634
2008-03-01,17.776
2008-04-01,17.123
2008-05-01,18.754
2008-06-01,17.776
2008-07-01,19.243
2008-08-01,20.059
2008-09-01,19.57
2008-10-01,18.265
2008-11-01,18.428
2008-12-01,19.407
2009-01-01,18.265
2009-02-01,17.776
2009-03-01,19.08
2009-04-01,18.754
2009-05-01,19.407
2009-06-01,18.917
2009-07-01,20.548
2009-08-01,19.407
2009-09-01,19.896
2009-10-01,20.711
2009-11-01,19.733
2009-12-01,21.853
2010-01-01,18.591
2010-02-01,17.776
2010-03-01,18.917
2010-04-01,20.222
2010-05-01,20.385
2010-06-01,19.243
2010-07-01,20.222
2010-08-01,19.896
2010-09-01,19.407
2010-10-01,19.243
2010-11-01,19.57
2010-12-01,19.407
2011-01-01,17.776
2011-02-01,17.45
2011-03-01,19.896
2011-04-01,18.917
2011-05-01,20.222
2011-06-01,19.243
2011-07-01,16.96
2011-08-01,18.265
2011-09-01,17.939
2011-10-01,19.08
2011-11-01,20.059
2011-12-01,20.874
2012-01-01,21.527
2012-02-01,20.874
2012-03-01,24.299
2012-04-01,22.994
2012-05-01,25.93
2012-06-01,26.745
2012-07-01,25.44
2012-08-01,27.071
2012-09-01,26.745
2012-10-01,26.093
2012-11-01,27.071
2012-12-01,27.724
2013-01-01,23.973
2013-02-01,24.788
2013-03-01,26.908
2013-04-01,26.745
2013-05-01,27.234
2013-06-01,26.419
2013-07-01,24.625
2013-08-01,24.299
2013-09-01,23.157
2013-10-01,23.973
2013-11-01,22.668
2013-12-01,22.179
2014-01-01,21.2
2014-02-01,20.874
2014-03-01,23.157
2014-04-01,21.69
2014-05-01,22.342
2014-06-01,22.342
2014-07-01,24.951
2014-08-01,26.419
2014-09-01,25.767
2014-10-01,26.256
2014-11-01,25.277
2014-12-01,25.277
2015-01-01,24.462
2015-02-01,23.157
2015-03-01,27.397
2015-04-01,26.256
2015-05-01,27.397
2015-06-01,26.419
2015-07-01,28.539
2015-08-01,29.844
2015-09-01,27.071
2015-10-01,28.05
2015-11-01,28.05
2015-12-01,28.213
2016-01-01,28.213
2016-02-01,26.908
2016-03-01,30.333
2016-04-01,27.397
2016-05-01,31.148
2016-06-01,29.844
2016-07-01,31.638
2016-08-01,32.29
2016-09-01,31.148
2016-10-01,30.333
2016-11-01,32.29
2016-12-01,33.594
2017-01-01,29.028
2017-02-01,30.822
2017-03-01,33.594
2017-04-01,32.453
2017-05-01,33.921
2017-06-01,32.29
2017-07-01,33.594
2017-08-01,34.41
2017-09-01,32.453
2017-10-01,30.496
2017-11-01,31.474
2017-12-01,32.127
2018-01-01,26.745
2018-02-01,25.114
2018-03-01,32.127
2018-04-01,29.517
2018-05-01,30.007
2018-06-01,29.681
2018-07-01,29.681
2018-08-01,29.844
2018-09-01,27.724
2018-10-01,31.638
2018-11-01,30.007
2018-12-01,29.354
2019-01-01,25.604
2019-02-01,22.668
2019-03-01,24.951
2019-04-01,23.647
2019-05-01,24.462
2019-06-01,23.647
2019-07-01,27.561
2019-08-01,30.985
2019-09-01,30.496
2019-10-01,31.964
2019-11-01,34.247
2019-12-01,34.41
2020-01-01,28.213
2020-02-01,28.213
2020-03-01,32.453
2020-04-01,32.779
2020-05-01,33.594
2020-06-01,33.431
2020-07-01,35.062
2020-08-01,34.736
2020-09-01,34.084
2020-10-01,33.431
2020-11-01,33.431
2020-12-01,34.736
