ds,y
2008-01-01,26.901
2008-04-01,109.789
2008-07-01,67.942
2008-10-01,73.415
2009-01-01,53.033
2009-04-01,118.542
2009-07-01,92.692
2009-10-01,65.427
2010-01-01,74.344
2010-04-01,36.295
2010-07-01,81.064
2010-10-01,107.565
2011-01-01,66.601
2011-04-01,108.0
2011-07-01,106.727
2011-10-01,72.459
2012-01-01,41.389
2012-04-01,39.204
2012-07-01,102.888
2012-10-01,41.217
2013-01-01,48.57
2013-04-01,54.679
2013-07-01,66.549
2013-10-01,58.932
2014-01-01,53.428
2014-04-01,83.31
2014-07-01,77.244
2014-10-01,54.936
2015-01-01,69.259
2015-04-01,90.646
2015-07-01,80.197
2015-10-01,89.744
2016-01-01,124.485
2016-04-01,82.801
2016-07-01,80.712
2016-10-01,51.673
2017-01-01,80.446
2017-04-01,87.314
2017-07-01,51.991
2017-10-01,72.122
2018-01-01,36.812
2018-04-01,94.051
2018-07-01,89.029
2018-10-01,56.388
2019-01-01,30.841
2019-04-01,92.503
2019-07-01,115.437
2019-10-01,83.783
2020-01-01,59.192
2020-04-01,56.939
2020-07-01,107.239
2020-10-01,102.792
2021-01-01,44.45
2021-04-01,105.785
2021-07-01,63.169
2021-10-01,60.579
2022-01-01,39.366
2022-04-01,90.03
2022-07-01,67.069
2022-10-01,68.494
2023-01-01,61.516
2023-04-01,68.223
