ds,y
1991-01-01,38.857
1991-02-01,33.113
1991-03-01,36.154
1991-04-01,32.437
1991-05-01,36.154
1991-06-01,35.141
1991-07-01,36.492
1991-08-01,36.83
1991-09-01,37.844
1991-10-01,41.223
1991-11-01,43.588
1991-12-01,51.697
1992-01-01,43.25
1992-02-01,41.898
1992-03-01,41.56
1992-04-01,38.182
1992-05-01,40.885
1992-06-01,38.182
1992-07-01,35.478
1992-08-01,37.506
1992-09-01,35.478
1992-10-01,37.844
1992-11-01,40.885
1992-12-01,49.332
1993-01-01,40.547
1993-02-01,41.898
1993-03-01,40.209
1993-04-01,42.912
1993-05-01,38.857
1993-06-01,35.141
1993-07-01,28.721
1993-08-01,32.1
1993-09-01,32.1
1993-10-01,28.045
1993-11-01,31.086
1993-12-01,29.734
1994-01-01,34.465
1994-02-01,26.693
1994-03-01,30.41
1994-04-01,29.396
1994-05-01,26.693
1994-06-01,23.314
1994-07-01,21.963
1994-08-01,22.301
1994-09-01,23.652
1994-10-01,24.328
1994-11-01,23.652
1994-12-01,29.396
1995-01-01,26.355
1995-02-01,21.963
1995-03-01,25.68
1995-04-01,21.963
1995-05-01,19.598
1995-06-01,17.57
1995-07-01,20.949
1995-08-01,22.301
1995-09-01,20.273
1995-10-01,19.936
1995-11-01,27.031
1995-12-01,32.1
1996-01-01,26.693
1996-02-01,25.004
1996-03-01,24.328
1996-04-01,19.936
1996-05-01,19.26
1996-06-01,17.57
1996-07-01,19.26
1996-08-01,22.301
1996-09-01,22.639
1996-10-01,27.031
1996-11-01,25.342
1996-12-01,30.41
1997-01-01,31.086
1997-02-01,25.68
1997-03-01,28.721
1997-04-01,30.41
1997-05-01,31.086
1997-06-01,24.328
1997-07-01,19.936
1997-08-01,20.949
1997-09-01,20.949
1997-10-01,21.963
1997-11-01,23.314
1997-12-01,25.342
1998-01-01,27.707
1998-02-01,27.369
1998-03-01,27.369
1998-04-01,26.693
1998-05-01,30.41
1998-06-01,28.383
1998-07-01,28.045
1998-08-01,27.031
1998-09-01,28.383
1998-10-01,32.1
1998-11-01,34.127
1998-12-01,40.547
1999-01-01,31.762
1999-02-01,30.748
1999-03-01,33.113
1999-04-01,35.816
1999-05-01,37.506
1999-06-01,32.775
1999-07-01,39.533
1999-08-01,40.547
1999-09-01,41.898
1999-10-01,40.547
1999-11-01,41.898
1999-12-01,53.049
2000-01-01,50.008
2000-02-01,46.291
2000-03-01,50.346
2000-04-01,46.967
2000-05-01,44.264
2000-06-01,41.56
2000-07-01,42.912
2000-08-01,36.492
2000-09-01,39.533
2000-10-01,42.236
2000-11-01,43.588
2000-12-01,46.291
2001-01-01,49.67
2001-02-01,48.994
2001-03-01,54.062
2001-04-01,46.967
2001-05-01,43.25
2001-06-01,41.223
2001-07-01,44.939
2001-08-01,44.601
2001-09-01,43.25
2001-10-01,47.642
2001-11-01,50.008
2001-12-01,62.51
2002-01-01,58.117
2002-02-01,53.049
2002-03-01,58.793
2002-04-01,48.318
2002-05-01,45.953
2002-06-01,40.885
2002-07-01,40.209
2002-08-01,39.195
2002-09-01,42.574
2002-10-01,44.264
2002-11-01,46.291
2002-12-01,50.683
2003-01-01,50.346
2003-02-01,43.25
2003-03-01,43.588
2003-04-01,43.926
2003-05-01,42.574
2003-06-01,42.236
2003-07-01,39.195
2003-08-01,40.209
2003-09-01,39.195
2003-10-01,57.441
2003-11-01,53.387
2003-12-01,64.537
2004-01-01,59.131
2004-02-01,58.117
2004-03-01,59.469
2004-04-01,58.117
2004-05-01,57.779
2004-06-01,52.035
2004-07-01,54.062
2004-08-01,54.738
2004-09-01,56.766
2004-10-01,61.496
2004-11-01,63.523
2004-12-01,78.39
2005-01-01,58.117
2005-02-01,60.482
2005-03-01,59.807
2005-04-01,63.523
2005-05-01,63.861
2005-06-01,55.076
2005-07-01,58.117
2005-08-01,57.779
2005-09-01,63.185
2005-10-01,65.889
2005-11-01,69.605
2005-12-01,92.92
2006-01-01,68.254
2006-02-01,65.213
2006-03-01,65.889
2006-04-01,58.455
2006-05-01,58.455
