ds,y
1999-10-01,457.802
1999-11-01,475.269
1999-12-01,499.991
2000-01-01,462.638
2000-02-01,445.423
2000-03-01,442.283
2000-04-01,442.788
2000-05-01,441.525
2000-06-01,446.108
2000-07-01,444.593
2000-08-01,447.588
2000-09-01,438.313
2000-10-01,440.623
2000-11-01,463.432
2000-12-01,482.343
2001-01-01,445.675
2001-02-01,427.739
2001-03-01,428.208
2001-04-01,427.666
2001-05-01,430.518
2001-06-01,435.245
2001-07-01,435.173
2001-08-01,438.06
2001-09-01,432.719
2001-10-01,440.009
2001-11-01,462.313
2001-12-01,482.74
2002-01-01,446.361
2002-02-01,429.038
2002-03-01,428.966
2002-04-01,431.023
2002-05-01,432.9
2002-06-01,438.963
2002-07-01,439.648
2002-08-01,445.242
2002-09-01,441.417
2002-10-01,450.259
2002-11-01,472.815
2002-12-01,495.588
2003-01-01,461.158
2003-02-01,443.113
2003-03-01,441.742
2003-04-01,445.423
2003-05-01,447.516
2003-06-01,453.363
2003-07-01,455.745
2003-08-01,459.209
2003-09-01,451.991
2003-10-01,454.951
2003-11-01,479.311
2003-12-01,500.64
2004-01-01,466.211
2004-02-01,454.048
2004-03-01,452.569
2004-04-01,453.94
2004-05-01,459.714
2004-06-01,465.741
2004-07-01,472.129
2004-08-01,474.403
2004-09-01,468.556
2004-10-01,476.063
2004-11-01,499.053
2004-12-01,516.015
2005-01-01,477.832
2005-02-01,463.143
2005-03-01,462.71
2005-04-01,464.839
2005-05-01,465.561
2005-06-01,471.444
2005-07-01,474.187
2005-08-01,476.316
2005-09-01,473.032
2005-10-01,475.45
2005-11-01,499.089
2005-12-01,519.913
2006-01-01,485.05
2006-02-01,469.062
2006-03-01,468.412
2006-04-01,467.618
2006-05-01,470.289
2006-06-01,474.367
2006-07-01,472.851
2006-08-01,477.038
2006-09-01,466.68
2006-10-01,469.098
2006-11-01,492.304
2006-12-01,508.508
2007-01-01,475.847
2007-02-01,456.25
2007-03-01,459.317
2007-04-01,460.003
2007-05-01,462.963
2007-06-01,468.123
2007-07-01,472.959
2007-08-01,476.893
2007-09-01,466.499
2007-10-01,473.068
2007-11-01,495.877
2007-12-01,516.412
2008-01-01,473.429
2008-02-01,453.29
2008-03-01,454.987
2008-04-01,458.884
2008-05-01,459.426
2008-06-01,463.251
2008-07-01,466.68
2008-08-01,471.805
2008-09-01,464.334
2008-10-01,473.284
2008-11-01,494.253
2008-12-01,516.051
2009-01-01,481.116
2009-02-01,467.799
2009-03-01,472.959
2009-04-01,474.511
2009-05-01,480.683
2009-06-01,489.561
2009-07-01,494.83
2009-08-01,499.522
2009-09-01,489.308
2009-10-01,496.165
2009-11-01,520.707
2009-12-01,541.133
2010-01-01,500.424
2010-02-01,485.555
2010-03-01,488.478
2010-04-01,488.839
2010-05-01,494.866
2010-06-01,505.404
2010-07-01,517.242
2010-08-01,521.067
2010-09-01,504.755
2010-10-01,509.23
2010-11-01,541.855
2010-12-01,568.598
2011-01-01,519.552
2011-02-01,500.135
2011-03-01,499.594
2011-04-01,498.078
2011-05-01,498.872
2011-06-01,512.442
2011-07-01,523.594
2011-08-01,529.079
2011-09-01,516.267
2011-10-01,526.878
2011-11-01,567.876
2011-12-01,591.046
2012-01-01,535.684
2012-02-01,514.896
2012-03-01,519.119
2012-04-01,522.15
2012-05-01,523.088
2012-06-01,529.44
2012-07-01,540.989
2012-08-01,549.362
2012-09-01,531.389
2012-10-01,538.066
2012-11-01,587.942
2012-12-01,603.966
2013-01-01,540.303
2013-02-01,517.783
2013-03-01,521.717
