ds,y
1988-01-01,1137.604
1988-04-01,1008.534
1988-07-01,904.508
1988-10-01,1185.838
1989-01-01,1093.83
1989-04-01,1102.405
1989-07-01,884.965
1989-10-01,1279.263
1990-01-01,1388.779
1990-04-01,1139.158
1990-07-01,1080.762
1990-10-01,1264.267
1991-01-01,1164.175
1991-04-01,1551.03
1991-07-01,1589.361
1991-10-01,911.185
1992-01-01,1192.282
1992-04-01,1272.367
1992-07-01,903.38
1992-10-01,1270.623
1993-01-01,1425.539
1993-04-01,896.743
1993-07-01,737.626
1993-10-01,748.78
1994-01-01,845.585
1994-04-01,1157.063
1994-07-01,811.086
1994-10-01,738.864
1995-01-01,1183.465
1995-04-01,899.238
1995-07-01,669.898
1995-10-01,970.363
1996-01-01,1108.537
1996-04-01,1130.689
1996-07-01,749.624
1996-10-01,621.786
1997-01-01,822.855
1997-04-01,1018.862
1997-07-01,868.056
1997-10-01,719.973
1998-01-01,944.048
1998-04-01,1144.315
1998-07-01,720.869
1998-10-01,1063.388
1999-01-01,967.468
1999-04-01,1120.056
1999-07-01,700.338
1999-10-01,1062.915
2000-01-01,737.711
2000-04-01,913.464
2000-07-01,857.213
2000-10-01,880.846
2001-01-01,752.116
2001-04-01,803.225
2001-07-01,689.091
2001-10-01,937.588
2002-01-01,741.567
2002-04-01,872.951
2002-07-01,737.865
2002-10-01,830.447
